"rating_id","country_id","coder_id","question_id","code","confidence","historical_date","text_answer","timestamp","data_type","date_added","party_id"
942421,15,502,411,NULL,80,"1900-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
39256748,15,5798,411,NULL,100,"1900-12-31","En general a lo largo del país","2020-01-24 21:09:29.840758",NULL,"2020-01-24 21:09:29.840758",NULL
937415,15,36,411,NULL,40,"1900-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
47228825,15,5993,411,NULL,100,"1900-12-31","En el sur del país","2022-01-06 21:08:48.284389",NULL,"2022-01-06 21:08:48.284389",NULL
45010533,15,5994,411,NULL,50,"1900-12-31","Zonas rurales","2021-01-25 06:40:37.68743",NULL,"2021-01-25 06:40:37.68743",NULL
942428,15,502,411,NULL,80,"1901-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937425,15,36,411,NULL,40,"1901-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937435,15,36,411,NULL,40,"1902-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942435,15,502,411,NULL,80,"1902-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937445,15,36,411,NULL,40,"1903-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942442,15,502,411,NULL,80,"1903-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942449,15,502,411,NULL,80,"1904-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937455,15,36,411,NULL,40,"1904-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942456,15,502,411,NULL,80,"1905-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937465,15,36,411,NULL,40,"1905-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942463,15,502,411,NULL,80,"1906-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937475,15,36,411,NULL,40,"1906-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937485,15,36,411,NULL,40,"1907-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942470,15,502,411,NULL,80,"1907-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942477,15,502,411,NULL,80,"1908-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937495,15,36,411,NULL,40,"1908-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937505,15,36,411,NULL,40,"1909-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942484,15,502,411,NULL,80,"1909-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937515,15,36,411,NULL,40,"1910-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942491,15,502,411,NULL,80,"1910-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942498,15,502,411,NULL,80,"1911-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937525,15,36,411,NULL,40,"1911-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942505,15,502,411,NULL,80,"1912-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937535,15,36,411,NULL,40,"1912-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942512,15,502,411,NULL,80,"1913-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937545,15,36,411,NULL,40,"1913-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937555,15,36,411,NULL,40,"1914-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942519,15,502,411,NULL,80,"1914-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942526,15,502,411,NULL,80,"1915-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937565,15,36,411,NULL,40,"1915-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942533,15,502,411,NULL,80,"1916-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937575,15,36,411,NULL,40,"1916-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
937585,15,36,411,NULL,40,"1917-12-31","South","2016-10-15 18:34:46.303313",NULL,NULL,NULL
942540,15,502,411,NULL,80,"1917-12-31","Rural areas and poor sectors of cities throughout the country.","2016-10-15 18:34:46.303313",NULL,NULL,NULL
