"MPIO_CDPMP","depto","provincia","indrural","discap4t5","disbog4t5","elsnl_4t5n","elsnmr_4t5n","clrgst_4t5n","clrgwk_4t5n","elsnl_4t5d","elsnmr_4t5d","clrgst_4t5d","clrgwk_4t5d","FID_4t5"
"05001","Antioquia","Valle del aburra",0.0184291806071997,0,264.339019775391,0.375,0,0,0.6,0,0.889,1,0,282
"05002","Antioquia","Oriente",0.62321400642395,58.2008743286133,209.005447387695,0.375,0,0,0.6,0.375,0,0,0.6,305
"05004","Antioquia","Occidente",0.694248616695404,63.8546333312988,326.940795898438,0.375,0,0,0.6,0.375,0,0,0.6,304
"05021","Antioquia","Oriente",0.466394662857056,61.1142158508301,241.82600402832,0.375,0,0,0.6,0.375,0,0,0.6,303
"05030","Antioquia","Suroeste",0.530750632286072,29.8788566589355,247.85627746582,0.375,0,0,0.6,0.375,0,0,0.6,302
"05031","Antioquia","Nordeste",0.441183269023895,105.130867004395,299.728210449219,0.375,0,0,0.6,0.375,0,0,0.6,301
"05034","Antioquia","Suroeste",0.531997501850128,76.3103790283203,239.198257446289,0.375,0,0,0.6,0.375,0,0,0.6,300
"05036","Antioquia","Suroeste",0.623349547386169,19.2576770782471,257.582244873047,0.375,0,0,0.6,0.375,0,0,0.6,299
"05038","Antioquia","Norte",0.770219445228577,72.6895294189453,301.724731445312,0.375,0,0,0.6,0.375,0,0,0.6,298
"05040","Antioquia","Nordeste",0.583319664001465,117.609687805176,329.563659667969,0.375,0,0,0.6,0.375,0,0,0.6,297
"05042","Antioquia","Occidente",0.375057339668274,42.0737800598145,306.244720458984,0.375,0,0,0.6,0.375,0,0,0.6,296
"05044","Antioquia","Occidente",0.820542097091675,29.0991840362549,285.700256347656,0.375,0,0,0.6,0.375,0,0,0.6,295
"05045","Antioquia","Urabá",0.186350747942924,209.224334716797,472.950897216797,0.375,0,0,0.6,0.375,0,0,0.6,404
"05051","Antioquia","Urabá",0.667281091213226,269.674377441406,526.132934570312,0.375,0,0,0.6,0.375,0,0,0.6,294
"05055","Antioquia","Oriente",0.55624920129776,92.3186340332031,173.791244506836,0.375,0,0,0.6,0.375,0,0,0.6,293
"05059","Antioquia","Occidente",0.666082918643951,21.4147357940674,266.160552978516,0.375,0,0,0.6,0.375,0,0,0.6,292
"05079","Antioquia","Valle del aburra",0.573322534561157,40.0173225402832,259.876953125,0.375,0,0,0.6,0.375,0,0,0.6,291
"05086","Antioquia","Norte",0.729499995708466,38.4839134216309,294.304534912109,0.375,0,0,0.6,0.375,0,0,0.6,290
"05088","Antioquia","Valle del aburra",0.0512786619365215,11.4078960418701,267.415771484375,0.375,0,0,0.6,0.375,0,0,0.6,289
