"MPIO_CDPMP","depto","provincia","indrur0t1","CDF_0t1","el_c0","em_c0","cs_c0","cw_c0","el_c1","em_c1","cs_c1","cw_c1","el_d0","el_d1","em_d0","em_d1","cs_d0","cs_d1","cw_d0","cw_d1","FID_0t1"
"05001","Antioquia","Valle del aburra",0.0184291806071997,0.507351763182699,0.443932792784862,0,0,0.507351763182699,0.0634189703978374,0.507351763182699,0.45103571746942,0,NA,0.125,NA,1,NA,0.889,NA,0,282
"05002","Antioquia","Oriente",0.62321400642395,0.733428050647465,0.641749544316531,0,0,0.733428050647465,0.0916785063309331,0.733428050647465,0.652017537025596,0,0.875,NA,0,NA,0,NA,1,NA,305
"05004","Antioquia","Occidente",0.694248616695404,0.756236845689959,0.661707239978714,0,0,0.756236845689959,0.0945296057112449,0.756236845689959,0.672294555818374,0,0.875,NA,0,NA,0,NA,1,NA,304
"05021","Antioquia","Oriente",0.466394662857056,0.679533484467355,0.594591798908935,0,0,0.679533484467355,0.0849416855584193,0.679533484467355,0.604105267691478,0,NA,0.125,NA,1,NA,0.889,NA,0,303
"05030","Antioquia","Suroeste",0.530750632286072,0.702204202809408,0.614428677458232,0,0,0.702204202809408,0.087775525351176,0.702204202809408,0.624259536297564,0,0.875,NA,0,NA,0,NA,1,NA,302
"05031","Antioquia","Nordeste",0.441183269023895,0.670459837700091,0.58665235798758,0,0,0.670459837700091,0.0838074797125114,0.670459837700091,0.596038795715381,0,NA,0.125,NA,1,NA,0.889,NA,0,301
"05034","Antioquia","Suroeste",0.531997501850128,0.702636137138694,0.614806619996357,0,0,0.702636137138694,0.0878295171423367,0.702636137138694,0.624643525916299,0,0.875,NA,0,NA,0,NA,1,NA,300
"05036","Antioquia","Suroeste",0.623349547386169,0.733472577626613,0.641788505423286,0,0,0.733472577626613,0.0916840722033266,0.733472577626613,0.652057121510059,0,0.875,NA,0,NA,0,NA,1,NA,299
"05038","Antioquia","Norte",0.770219445228577,0.779415134462034,0.681988242654279,0,0,0.779415134462034,0.0974268918077542,0.779415134462034,0.692900054536748,0,0.875,NA,0,NA,0,NA,1,NA,298
"05040","Antioquia","Nordeste",0.583319664001465,0.720160936285132,0.63014081924949,0,0,0.720160936285132,0.0900201170356414,0.720160936285132,0.640223072357482,0,0.875,NA,0,NA,0,NA,1,NA,297
"05042","Antioquia","Occidente",0.375057339668274,0.646191088491205,0.565417202429804,0,0,0.646191088491205,0.0807738860614006,0.646191088491205,0.574463877668681,0,NA,0.125,NA,1,NA,0.889,NA,0,296
"05044","Antioquia","Occidente",0.820542097091675,0.794046429449665,0.694790625768457,0,0,0.794046429449665,0.0992558036812081,0.794046429449665,0.705907275780752,0,0.875,NA,0,NA,0,NA,1,NA,295
"05045","Antioquia","Urabá",0.186350747942924,0.573915143367874,0.50217575044689,0,0,0.573915143367874,0.0717393929209843,0.573915143367874,0.51021056245404,0,NA,0.125,NA,1,NA,0.889,NA,0,404
"05051","Antioquia","Urabá",0.667281091213226,0.747703698943089,0.654240736575202,0,0,0.747703698943089,0.0934629623678861,0.747703698943089,0.664708588360406,0,0.875,NA,0,NA,0,NA,1,NA,294
"05055","Antioquia","Oriente",0.55624920129776,0.710979745672701,0.622107277463614,0,0,0.710979745672701,0.0888724682090877,0.710979745672701,0.632060993903031,0,0.875,NA,0,NA,0,NA,1,NA,293
"05059","Antioquia","Occidente",0.666082918643951,0.747320949032159,0.653905830403139,0,0,0.747320949032159,0.0934151186290198,0.747320949032159,0.664368323689589,0,0.875,NA,0,NA,0,NA,1,NA,292
"05079","Antioquia","Valle del aburra",0.573322534561157,0.716786834861026,0.627188480503398,0,0,0.716786834861026,0.0895983543576283,0.716786834861026,0.637223496191452,0,0.875,NA,0,NA,0,NA,1,NA,291
