"MPIO_CDPMP","depto","provincia","indrur0t1","el_0t1x","em_0t1x","cs_0t1x","cw_0t1x","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"05001","Antioquia","Valle del aburra",0.0184291806071997,0.1388218854554,0.9815708193928,0.8726164584402,0.0184291806071997,0.125,1,0.889,0,282
"05002","Antioquia","Oriente",0.62321400642395,0.592410504817963,0.37678599357605,0.334962748289108,0.62321400642395,0.875,0,0,1,305
"05004","Antioquia","Occidente",0.694248616695404,0.645686462521553,0.305751383304596,0.271812979757786,0.694248616695404,0.875,0,0,1,304
"05021","Antioquia","Oriente",0.466394662857056,0.474795997142792,0.533605337142944,0.474375144720078,0.466394662857056,0.125,1,0.889,0,303
"05030","Antioquia","Suroeste",0.530750632286072,0.523062974214554,0.469249367713928,0.417162687897682,0.530750632286072,0.875,0,0,1,302
"05031","Antioquia","Nordeste",0.441183269023895,0.455887451767921,0.558816730976105,0.496788073837757,0.441183269023895,0.125,1,0.889,0,301
"05034","Antioquia","Suroeste",0.531997501850128,0.523998126387596,0.468002498149872,0.416054220855236,0.531997501850128,0.875,0,0,1,300
"05036","Antioquia","Suroeste",0.623349547386169,0.592512160539627,0.376650452613831,0.334842252373695,0.623349547386169,0.875,0,0,1,299
"05038","Antioquia","Norte",0.770219445228577,0.702664583921432,0.229780554771423,0.204274913191795,0.770219445228577,0.875,0,0,1,298
"05040","Antioquia","Nordeste",0.583319664001465,0.562489748001099,0.416680335998535,0.370428818702698,0.583319664001465,0.875,0,0,1,297
"05042","Antioquia","Occidente",0.375057339668274,0.406293004751205,0.624942660331726,0.555574025034904,0.375057339668274,0.125,1,0.889,0,296
"05044","Antioquia","Occidente",0.820542097091675,0.740406572818756,0.179457902908325,0.159538075685501,0.820542097091675,0.875,0,0,1,295
"05045","Antioquia","Urabá",0.186350747942924,0.264763060957193,0.813649252057076,0.72333418507874,0.186350747942924,0.125,1,0.889,0,404
"05051","Antioquia","Urabá",0.667281091213226,0.62546081840992,0.332718908786774,0.295787109911442,0.667281091213226,0.875,0,0,1,294
"05055","Antioquia","Oriente",0.55624920129776,0.54218690097332,0.44375079870224,0.394494460046291,0.55624920129776,0.875,0,0,1,293
"05059","Antioquia","Occidente",0.666082918643951,0.624562188982964,0.333917081356049,0.296852285325527,0.666082918643951,0.875,0,0,1,292
"05079","Antioquia","Valle del aburra",0.573322534561157,0.554991900920868,0.426677465438843,0.379316266775131,0.573322534561157,0.875,0,0,1,291
"05086","Antioquia","Norte",0.729499995708466,0.672124996781349,0.270500004291534,0.240474503815174,0.729499995708466,0.875,0,0,1,290
"05088","Antioquia","Valle del aburra",0.0512786619365215,0.163458996452391,0.948721338063478,0.843413269538432,0.0512786619365215,0.125,1,0.889,0,289
"05091","Antioquia","Suroeste",0.651167273521423,0.613375455141068,0.348832726478577,0.310112293839455,0.651167273521423,0.875,0,0,1,288
"05093","Antioquia","Suroeste",0.726148545742035,0.669611409306526,0.273851454257965,0.243453942835331,0.726148545742035,0.875,0,0,1,287
"05101","Antioquia","Suroeste",0.402557611465454,0.426918208599091,0.597442388534546,0.531126283407211,0.402557611465454,0.125,1,0.889,0,283
"05107","Antioquia","Norte",0.682547569274902,0.636910676956177,0.317452430725098,0.282215210914612,0.682547569274902,0.875,0,0,1,284
"05113","Antioquia","Occidente",0.761064767837524,0.695798575878143,0.238935232162476,0.212413421392441,0.761064767837524,0.875,0,0,1,285
"05120","Antioquia","Bajo cauca",0.815319359302521,0.736489519476891,0.184680640697479,0.164181089580059,0.815319359302521,0.875,0,0,1,286
"05125","Antioquia","Suroeste",0.800289273262024,0.725216954946518,0.199710726737976,0.177542836070061,0.800289273262024,0.875,0,0,1,351
"05129","Antioquia","Valle del aburra",0.20908360183239,0.281812701374292,0.79091639816761,0.703124677971005,0.20908360183239,0.125,1,0.889,0,350
"05134","Antioquia","Norte",0.732043921947479,0.674032941460609,0.267956078052521,0.238212953388691,0.732043921947479,0.875,0,0,1,349
