"FID_15t16","Petro_15t16","Duque_15t16","vtotal_15t16","MOV18_15t16","elsnl_15","elsnmr_15","clrgst_15","clrgwk_15","elsnl_16","elsnmr_16","clrgst_16","clrgwk_16"
0,20584,40730,64629,0.31172,0,0.222,0.333,0,NA,NA,NA,NA
1,370,1519,1973,0.58236,0,0.222,0.333,0,NA,NA,NA,NA
2,968,2689,3833,0.449,0,0.222,0.333,0,NA,NA,NA,NA
3,1983,4516,6903,0.36694,0,0.222,0.333,0,NA,NA,NA,NA
4,1863,2552,4638,0.14856,0,0.222,0.333,0,NA,NA,NA,NA
5,2223,1730,4107,-0.12004,NA,NA,NA,NA,0,0,0,0.1
6,669,1306,2036,0.31287,0,0.222,0.333,0,NA,NA,NA,NA
7,364,1293,1709,0.54359,0,0.222,0.333,0,NA,NA,NA,NA
8,1438,2666,4328,0.28373,0,0.222,0.333,0,NA,NA,NA,NA
9,560,1467,2163,0.41933,0,0.222,0.333,0,NA,NA,NA,NA
10,3229,2730,6362,-0.07843,NA,NA,NA,NA,NA,NA,NA,NA
11,4433,7758,12894,0.25787,0,0.222,0.333,0,NA,NA,NA,NA
12,1135,894,2136,-0.11283,NA,NA,NA,NA,0,0,0,0.1
13,431,1343,1930,0.47254,0,0.222,0.333,0,NA,NA,NA,NA
14,692,1835,2673,0.42761,0,0.222,0.333,0,NA,NA,NA,NA
15,2314,4775,7619,0.32301,0,0.222,0.333,0,NA,NA,NA,NA
16,81160,49298,138157,-0.23062,NA,NA,NA,NA,0,0,0,0.1
17,5070,865,6060,-0.69389,NA,NA,NA,NA,0,0,0,0.1
18,8658,756,9678,-0.81649,NA,NA,NA,NA,0,0,0,0.1
19,5766,894,6837,-0.71259,NA,NA,NA,NA,0,0,0,0.1
20,10598,3051,13997,-0.53919,NA,NA,NA,NA,0,0,0,0.1
21,3608,3578,7788,-0.00385,NA,NA,NA,NA,NA,NA,NA,NA
22,5730,4657,11045,-0.09715,NA,NA,NA,NA,NA,NA,NA,NA
23,9177,2996,12537,-0.49302,NA,NA,NA,NA,0,0,0,0.1
24,7336,3149,11138,-0.37592,NA,NA,NA,NA,0,0,0,0.1
25,7164,3127,10870,-0.37139,NA,NA,NA,NA,0,0,0,0.1
26,1827,692,2610,-0.43487,NA,NA,NA,NA,0,0,0,0.1
27,6149,1640,8318,-0.54208,NA,NA,NA,NA,0,0,0,0.1
28,6049,2807,9112,-0.35579,NA,NA,NA,NA,0,0,0,0.1
29,4825,448,5428,-0.80637,NA,NA,NA,NA,0,0,0,0.1
30,2324,1941,4462,-0.08584,NA,NA,NA,NA,NA,NA,NA,NA
31,4461,2026,6694,-0.36376,NA,NA,NA,NA,0,0,0,0.1
32,5014,1205,6390,-0.59609,NA,NA,NA,NA,0,0,0,0.1
33,8606,3105,12420,-0.44291,NA,NA,NA,NA,0,0,0,0.1
34,4611,4379,9392,-0.0247,NA,NA,NA,NA,NA,NA,NA,NA
35,2842,678,3797,-0.56992,NA,NA,NA,NA,0,0,0,0.1
36,6755,2956,10076,-0.37703,NA,NA,NA,NA,0,0,0,0.1
37,6934,3040,10405,-0.37424,NA,NA,NA,NA,0,0,0,0.1
38,1300,884,2263,-0.18383,NA,NA,NA,NA,0,0,0,0.1
39,6031,7770,14629,0.11887,0,0.222,0.333,0,NA,NA,NA,NA
40,14474,2793,18253,-0.63995,NA,NA,NA,NA,0,0,0,0.1
41,2575,1680,4414,-0.20276,NA,NA,NA,NA,0,0,0,0.1
42,2007,2257,4482,0.05578,NA,NA,NA,NA,NA,NA,NA,NA
43,2014,1161,3273,-0.26062,NA,NA,NA,NA,0,0,0,0.1
44,24162,15383,42175,-0.20816,NA,NA,NA,NA,0,0,0,0.1
45,1121,746,1909,-0.19644,NA,NA,NA,NA,0,0,0,0.1
46,10044,2528,13025,-0.57704,NA,NA,NA,NA,0,0,0,0.1
47,2129,1560,3865,-0.14722,NA,NA,NA,NA,0,0,0,0.1
48,3492,3166,7142,-0.04565,NA,NA,NA,NA,NA,NA,NA,NA
49,2683,269,3009,-0.80226,NA,NA,NA,NA,0,0,0,0.1
50,6462,7056,14284,0.04158,NA,NA,NA,NA,NA,NA,NA,NA
51,9803,1165,11271,-0.76639,NA,NA,NA,NA,0,0,0,0.1
52,4514,1351,6045,-0.52324,NA,NA,NA,NA,0,0,0,0.1
53,6657,7503,15044,0.05624,NA,NA,NA,NA,NA,NA,NA,NA
54,6123,1286,7536,-0.64185,NA,NA,NA,NA,0,0,0,0.1
55,2374,1777,4244,-0.14067,NA,NA,NA,NA,0,0,0,0.1
56,5683,1127,6899,-0.66039,NA,NA,NA,NA,0,0,0,0.1
57,6328,1387,8155,-0.60589,NA,NA,NA,NA,0,0,0,0.1
58,448242,353824,856111,-0.11029,NA,NA,NA,NA,0,0,0,0.1
59,4905,4061,9560,-0.08828,NA,NA,NA,NA,NA,NA,NA,NA
60,1347,6504,8247,0.62532,0,0.222,0.333,0,NA,NA,NA,NA
61,417,2208,2753,0.65056,0,0.222,0.333,0,NA,NA,NA,NA
62,28689,22872,55755,-0.10433,NA,NA,NA,NA,0,0,0,0.1
63,6002,3712,10250,-0.22341,NA,NA,NA,NA,0,0,0,0.1
64,3250,9736,13809,0.46969,0,0.222,0.333,0,NA,NA,NA,NA
65,2639,3610,6680,0.14536,0,0.222,0.333,0,NA,NA,NA,NA
66,22860,10924,36341,-0.32844,NA,NA,NA,NA,0,0,0,0.1
67,16882,34529,55482,0.31807,0,0.222,0.333,0,NA,NA,NA,NA
68,546,3278,4035,0.67708,0,0.222,0.333,0,NA,NA,NA,NA
69,464,2425,3003,0.65301,0,0.222,0.333,0,NA,NA,NA,NA
70,17011,8418,27057,-0.31759,NA,NA,NA,NA,0,0,0,0.1
71,1098,3310,4641,0.47662,0,0.222,0.333,0,NA,NA,NA,NA
72,17778,7190,26421,-0.40074,NA,NA,NA,NA,0,0,0,0.1
73,4026,4718,9358,0.07395,NA,NA,NA,NA,NA,NA,NA,NA
74,9273,4871,14958,-0.29429,NA,NA,NA,NA,0,0,0,0.1
75,1554,3440,5327,0.35405,0,0.222,0.333,0,NA,NA,NA,NA
76,2243,2753,5312,0.09601,NA,NA,NA,NA,NA,NA,NA,NA
77,74340,51321,135337,-0.17009,NA,NA,NA,NA,0,0,0,0.1
78,12458,6665,20411,-0.28382,NA,NA,NA,NA,0,0,0,0.1
79,2029,4059,6540,0.3104,0,0.222,0.333,0,NA,NA,NA,NA
80,2446,4683,7648,0.29249,0,0.222,0.333,0,NA,NA,NA,NA
