"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"05001","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,282
"05002","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,305
"05004","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,304
"05021","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,303
"05030","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,302
"05031","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,301
"05034","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,300
"05036","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,299
"05038","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,298
"05040","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,297
"05042","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,296
"05044","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,295
"05045","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,404
"05051","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,294
"05055","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,293
"05059","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,292
"05079","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,291
"05086","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,290
"05088","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,289
"05091","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,288
"05093","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,287
"05101","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,283
"05107","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,284
"05113","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,285
"05120","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,286
"05125","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,351
"05129","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,350
"05134","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,349
"05138","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,348
"05142","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,347
"05145","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,346
"05147","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,345
"05148","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,344
"05150","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,343
"05154","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,342
"05172","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,341
"05190","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,340
"05197","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,339
"05206","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,338
"05209","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,337
"05212","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,336
"05234","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,398
"05237","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,335
