"MPIO_CDPMP","FID","REGION","Cardinal","elsnlfc","elsnmrfc","clrgstch","clrgwkch"
"05001",282,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05002",305,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05004",304,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05021",303,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05030",302,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05031",301,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05034",300,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05036",299,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05038",298,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05040",297,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05042",296,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05044",295,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05045",404,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05051",294,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05055",293,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05059",292,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05079",291,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05086",290,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05088",289,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05091",288,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05093",287,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05101",283,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05107",284,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05113",285,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05120",286,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05125",351,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05129",350,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05134",349,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05138",348,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05142",347,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05145",346,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05147",345,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05148",344,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05150",343,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05154",342,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05172",341,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05190",340,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05197",339,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05206",338,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05209",337,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05212",336,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05234",398,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05237",335,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05240",334,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05250",333,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05264",332,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05266",331,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05282",330,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05284",399,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
