MPIO_CDPMP,elsnlfc,elsnmrfc,clrgstch,clrgwkch
18001,0.25,0,0,0.5
18029,0.25,0,0,0.5
18094,0.25,0,0,0.5
18247,0.25,0,0,0.5
18256,0.25,0,0,0.5
18410,0.25,0,0,0.5
18460,0.25,0,0,0.5
18479,0.25,0,0,0.5
18610,0.25,0,0,0.5
18860,0.25,0,0,0.5
18150,0.25,0,0,0.5
18753,0.25,0,0,0.5
18756,0.25,0,0,0.5
18785,0.25,0,0,0.5
18205,0.25,0,0,0.5
18592,0.25,0,0,0.5
19001,0.125,0,0.111,0.3
19022,0.125,0,0.111,0.3
19050,0.125,0,0.111,0.3
19075,0.125,0,0.111,0.3
19100,0.125,0,0.111,0.3
19110,0.125,0,0.111,0.3
19130,0.125,0,0.111,0.3
19137,0.125,0,0.111,0.3
19142,0.125,0,0.111,0.3
19212,0.125,0,0.111,0.3
19290,0.125,0,0.111,0.3
19300,0.125,0,0.111,0.3
19355,0.125,0,0.111,0.3
19364,0.125,0,0.111,0.3
19392,0.125,0,0.111,0.3
19397,0.125,0,0.111,0.3
19450,0.125,0,0.111,0.3
19455,0.125,0,0.111,0.3
19473,0.125,0,0.111,0.3
19513,0.125,0,0.111,0.3
19517,0.125,0,0.111,0.3
19532,0.125,0,0.111,0.3
19533,0.125,0,0.111,0.3
19548,0.125,0,0.111,0.3
19573,0.125,0,0.111,0.3
19585,0.125,0,0.111,0.3
19622,0.125,0,0.111,0.3
19693,0.125,0,0.111,0.3
19698,0.125,0,0.111,0.3
19701,0.125,0,0.111,0.3
19743,0.125,0,0.111,0.3
19760,0.125,0,0.111,0.3
19780,0.125,0,0.111,0.3
19785,0.125,0,0.111,0.3
19807,0.125,0,0.111,0.3
19821,0.125,0,0.111,0.3
19824,0.125,0,0.111,0.3
19256,0.125,0,0.111,0.3
19318,0.125,0,0.111,0.3
19418,0.125,0,0.111,0.3
19809,0.125,0,0.111,0.3
19845,0.125,0,0.111,0.3
76001,0.125,0,0.111,0.3
