REGION,CODIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CODIGO DANE DEL MUNICIPIO,MUNICIPIO
 Eje Cafetero - Antioquia,05,Antioquia,05400,La Union
 Caribe,13,Bolivar,13300,Hatillo de Loba
 Caribe,13,Bolivar,13600,Rio Viejo
 Centro Oriente,15,Boyaca,15500,Oicata
 Centro Oriente,15,Boyaca,15600,Raquira
 Pacifico,19,Cauca,19100,Bolivar
 Pacifico,19,Cauca,19300,Guachene
 Caribe,20,Cesar,20400,La Jagua de Ibirico
 Caribe,23,Cordoba,23300,Cotorra
 Caribe,23,Cordoba,23500,Monitos
 Centro Oriente,25,Cundinamarca,25200,Cogua
 Pacifico,27,Choco,27600,Rio Quito
 Pacifico,27,Choco,27800,Unguia
 Llano,50,Meta,50400,Lejanias
 Eje Cafetero - Antioquia,05,Antioquia,05120,Caceres
 Eje Cafetero - Antioquia,05,Antioquia,05150,Carolina
 Eje Cafetero - Antioquia,05,Antioquia,05190,Cisneros
 Eje Cafetero - Antioquia,05,Antioquia,05240,Ebejico
 Eje Cafetero - Antioquia,05,Antioquia,05250,El Bagre
 Eje Cafetero - Antioquia,05,Antioquia,05310,Gomez Plata
 Eje Cafetero - Antioquia,05,Antioquia,05360,Itagui
 Eje Cafetero - Antioquia,05,Antioquia,05380,La Estrella
 Eje Cafetero - Antioquia,05,Antioquia,05390,La Pintada
 Eje Cafetero - Antioquia,05,Antioquia,05440,Marinilla
 Eje Cafetero - Antioquia,05,Antioquia,05480,Mutata
 Centro Oriente,54,Norte de Santander,00548,Teorama
 Eje Cafetero - Antioquia,05,Antioquia,05490,Necocli
 Eje Cafetero - Antioquia,05,Antioquia,05660,San Luis
 Eje Cafetero - Antioquia,05,Antioquia,05670,San Roque
 Eje Cafetero - Antioquia,05,Antioquia,05690,Santo Domingo
 Eje Cafetero - Antioquia,05,Antioquia,05790,Taraza
 Eje Cafetero - Antioquia,05,Antioquia,05890,Yolombo
 Eje Cafetero - Antioquia,66,Risaralda,66400,La Virginia
 Centro Oriente,68,Santander,68500,Oiba
 Caribe,70,Sucre,70400,La Union
 Centro Sur,73,Tolima,73200,Coello
 Pacifico,76,Valle del Cauca,76100,Bolivar
 Pacifico,76,Valle del Cauca,76400,La Union
 Llano,81,Arauca,81300,Fortul
 Caribe,08,Atlantico,08520,Palmar de Varela
 Llano,85,Casanare,85300,Sabanalarga
 Llano,85,Casanare,85400,Tamara
 Caribe,08,Atlantico,08560,Ponedera
 Caribe,08,Atlantico,08770,Suan
