"SubrCode","Subregion","DeptCode","Dept","CODIGODANE","Mun","PDET","PDET_Initiatives","IV_Edu","Year","POBLACION_5_16","TASA_MATRICULACION_5_16","COBERTURA_NETA","COBERTURA_BRUTA","DESERCION","APROBACION","REPITENCIA","t_establ","jornada_total","jornada_r","admin_total","admin_total_r","docen_total","docen_rural","alumn_total","alumn_rural","s11_total","s11_mate","s11_total_r","n_icfes","col_total","Mortalidad","MortInfantil1","VaxPenta","AdolMothers","MortInfantil5","ValueAdded","pobl_rur","pobl_tot","altura","discapital","y_total","g_total","deficit","SGP_total","SGP_educaciontot","SGR_total","asalt_pob","cont_arm","homicidios","H_coca","coca","civ_herminas_r","HomicideRate"
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2011,386466,108.73,108.5,125.4,3.69,96.28,4.57,857,1585,118,8037,580,18412,1295,398757,26653,50.676197052002,50.2055435180664,47.6821441650391,32278,313,5.27,13.54,80.95,36.1,11.2,15559869.4,32714,2368282,1475,0,3048820.389,3568450.256,887821.633,731122336718,497289993177,NA,0,0,1563,NA,NA,NA,65.9972081027513
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2012,380839,108.69,108.4,123.8,3.37,92.46,3.67,860,1561,118,7665,444,17573,1147,390662,23543,50.2765083312988,50.2260971069336,NA,32708,289,5.1,12.58,88.6,37.16,11,16479173.88,31877,2393011,1475,0,3254946.076,3370068.345,951987.24,759888128694,525440888144,1276141561.7536,0,0,1249,NA,NA,NA,52.1936589510036
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2013,377955,106.86,106.6,122.9,3.39,90.51,1.41,867,1573,105,8146,451,17937,930,385028,17111,50.9113159179688,50.4868927001953,NA,30091,275,5.01,11.66,87.8,35.79,10.81,18033274.32,31092,2417325,1475,0,3765280.165,4067122.721,1097460.321,814131823457,542023283357,2164438768,0,0,924,NA,NA,NA,38.2240699947256
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2014,374411,105.93,86.06,122.86,1.8,92.33,1.5,876,1537,95,7899,380,15736,695,418187,16191,50.3808135986328,49.972583770752,47.5415191650391,31853,364,5.12,11.37,98.1,36.21,8.99,18766270.65,30358,2441123,1475,0,5347402.036,5293849.744,1139790.361,853980497243,569758689532,NA,0,0,659,NA,NA,NA,26.9957720278741
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2015,371407,105.4,105.21,120.72,3.58,85.92,1.47,841,1508,96,8606,478,15712,745,410009,18256,50.3091049194336,50.065258026123,47.0204429626465,31127,320,5.26,11.12,98.2,35.08,9.62,19627534.15,29675,2464322,1475,0,4174454.5,4249857,1197526.25,891653569917,596642587628,1929329740.3191,0,0,496,NA,NA,NA,20.1272398655695
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2016,370403,103.4,103.18,118.91,3.93,85.04,3.3,899,1544,93,7821,386,16230,714,394609,15921,51.2855987548828,50.1331787109375,49.2448654174805,29315,308,5.46,11.12,97.13,32.58,9.32,20861826.91,29043,2486723,1475,0,4258810.791,4088560.508,1259574.217,963269289851.765,642036712382,NA,0,0,544,NA,NA,NA,21.8761800168334
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2017,370202,101.3,101.16,116.3,3.46,85.31,10.16,829,1455,85,7226,313,15611,672,389687,13784,50.9377746582031,50.485424041748,NA,28794,320,5.61,8.1,90.83,30.76,9.55,21548689.24,28462,2508452,1475,0,5217938.89653397,5228906.3203125,1401142.20117188,1022946430104,705766363721,1031788456.55,0,0,581,NA,NA,NA,23.161694941741
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2022,378768,97.26,97.06,109.22,4.91,85.66,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42631,1,1475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2018,384358,100.67,96.88,110.95,4.14,86.1,3.81,838,1499,88,6784,321,16480,647,383647,12349,50.4697418212891,49.8548202514648,NA,29138,320,5.69,7.11,92.23,27.71,8.17,22694426.7,44730,2427129,1475,0,5379906.721258,5844982.280034,1453163.331167,1052478725966,722559627705,NA,0,0,633,NA,NA,NA,26.0801959846386
0,"NA",5,"ANTIOQUIA",5001,"MEDELLIN",0,0,0,2019,383386,98.15,97.96,112.44,3.91,86.29,4.4,828,1485,87,8047,402,18009,727,427877,12954,50.1347770690918,49.4334259033203,NA,29719,NA,5.86,7.33,93.96,23.67,8.99,23931503.64,44075,2483545,1475,0,5538057.473071,5602230.777267,1584573.750359,1184246035289,812525429264,1360981359.4302,0,0,593,NA,NA,NA,23.8771594635893
